Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
3e6BGJDY7wY8UkYtcnksUQ,Shade,241 Sullivan St,"{'latitude': 40.72992, 'longitude': -73.99927}",211,4.0,10002
4SN0mwVSzVkFTpb_aH8cgg,La Cava,939 2nd Ave,"{'latitude': 40.7548159435015, 'longitude': -73.9688132098044}",236,3.5,10022
tTQ7u5HOEaOeiTs4fH1RUA,Meritage Wine Bar,90 School St,"{'latitude': 40.86724, 'longitude': -73.6305861}",109,4.5,11542
eaV_aUOFJPsG7wRbzr6M9Q,Hudson Hall,364 Marin Blvd,"{'latitude': 40.72127, 'longitude': -74.04082}",222,4.0,07302
riykDqJw_NPGssLgqCeD-Q,Aunt Jake's,1555 2nd Ave,"{'latitude': 40.774587, 'longitude': -73.954513}",18,4.5,10028
bqeQ4l_vYVaCLAzkIA6QrQ,Harlem Wine Room,3454 Broadway,"{'latitude': 40.8236484, 'longitude': -73.9521055}",16,4.5,10031
fuLGTn6H_BLEa1ahGGzebQ,Bklyn Crepe,214 Flatbush Ave,"{'latitude': 40.681117, 'longitude': -73.975591}",195,4.0,11217
NSSINPz7_s65pFBS2iZFjQ,T-Swirl Crêpe,244 Main St,"{'latitude': 40.8517874032259, 'longitude': -73.9719611406326}",192,4.5,07024
D0LsGudLqLabXbhEPMkw6A,Aumm Aumm Pizzeria & Wine Bar,7701 Broadway,"{'latitude': 40.79789, 'longitude': -74.00231}",354,4.5,07047
M6aCb7aJzIAyiNJ3c9WpMQ,Le Pain Quotidien,Central Park Driveway,"{'latitude': 40.7663330471095, 'longitude': -73.979585697037}",103,3.0,10023
m-bEhZKBos1VZabVTg5CKg,Philip Marie,569 Hudson St,"{'latitude': 40.73591, 'longitude': -74.00624}",706,3.5,10014
zjglOaCY8xQu3s2eKnLFzw,Mozzarella & Vino,33 W 54th St,"{'latitude': 40.76204, 'longitude': -73.97718}",260,4.0,10019
w1-p8N_2suONGoEHFcEQng,Crepes Truck,None,"{'latitude': 40.73929, 'longitude': -73.984952}",26,4.0,10010
So6xT7Hl0HDcPqipvGfZdA,Pastai,186 9th Ave,"{'latitude': 40.7454222076169, 'longitude': -74.0019670059103}",196,3.5,10011
GlZKE1IrwfezpV_ZCvQWZA,Sushi House 21,243 Elm St,"{'latitude': 40.72705, 'longitude': -74.16002}",135,4.5,07105
_AU96YHJM_CgFfw_QzpvAQ,Akrotiri Seafood Taverna,29-20 30th Ave,"{'latitude': 40.76748178184, 'longitude': -73.9227594697491}",155,4.0,11102
EOlaJFEASCNhceL3oEFonQ,Casa Del Mar Seafood Restaurant & Bar,1779 Webster Ave,"{'latitude': 40.845282, 'longitude': -73.902794}",69,3.5,10457
W9wDa_EB0h2p5JG6P6lyZw,Pescatore,955 2nd Ave,"{'latitude': 40.75538, 'longitude': -73.96852}",378,3.5,10022
2zWDqKAq8B3rC5ydFFrN1g,Sangria 71,71 Hillside Ave,"{'latitude': 40.7573097, 'longitude': -73.6420024}",430,4.0,11596
s4_ruNWE136n8awcA9oBbA,The Smile,26 Bond St,"{'latitude': 40.726621, 'longitude': -73.993545}",480,3.5,10012
W1pBIFhkjJwjTe2P7o57yg,Lilly's Cocktail and Wine,50 W 72nd St,"{'latitude': 40.77698, 'longitude': -73.9785}",94,4.0,10023
ZcwkYG95JHKKiLzJ8nrVYA,Cafe Select,212 Lafayette St,"{'latitude': 40.721816, 'longitude': -73.997927}",463,3.5,10012
PNMgV-L_ybLnGoxo2w1jvA,T-Swirl Crêpe,36-16 30th Ave,"{'latitude': 40.76454, 'longitude': -73.91696}",168,4.0,11103
qsb6H598JnCHdKscMg9T8w,Grape and Grain,620 E 6th St,"{'latitude': 40.724055, 'longitude': -73.980757}",313,4.0,10009
E41K_yBSmzosUqL52kQTcg,Caspiy Restaurant,1309 Ave Z,"{'latitude': 40.58796, 'longitude': -73.95582}",14,4.5,11235
UQZmhaPAMdZabid6ccvhTg,Il Punto Ristorante,507 9th Ave,"{'latitude': 40.75612, 'longitude': -73.99467}",354,4.0,10018
2_1FxCMLvK46Vt81VlIS7A,Minibar,482 Court St,"{'latitude': 40.677463, 'longitude': -73.998466}",61,4.5,11231
yREKlCvSuaxcRSVRsCIDUQ,Acqua Santa,556 Driggs Ave,"{'latitude': 40.71701, 'longitude': -73.95663}",264,3.5,11211
Ty1MvJz88DeNmX0eDHeMyQ,Pietro's,232 E 43rd St,"{'latitude': 40.7506055, 'longitude': -73.9721964}",114,4.0,10017
-jlqWTfGwSF6O-9th_3kBw,Lakou Cafe,195 Utica Ave,"{'latitude': 40.672, 'longitude': -73.93055}",66,4.5,11213
k2xtXGmyMU1q49UTlws8tg,Pop and Pour Cafe,200 Dyckman St,"{'latitude': 40.86477, 'longitude': -73.92718}",124,4.5,10040
vtKxYnrZld4w6wG82Vm4pg,Tribeca Grill,375 Greenwich St,"{'latitude': 40.71961, 'longitude': -74.00991}",608,3.5,10013
A-zhHGnBFkKA9fo1neN7iA,Crepe Factory,1934 Bath Ave,"{'latitude': 40.60199238814, 'longitude': -74.0028045849757}",22,4.5,11214
C4wQ89BDobp2q23-EZStwA,T-Swirl Crepe,39-24 Bell Blvd,"{'latitude': 40.764564, 'longitude': -73.771801}",13,4.5,11361
J8UMXWNYrn7_D0KXZN1Hrg,Pierre Loti Union Square,53 Irving Pl,"{'latitude': 40.7360683313323, 'longitude': -73.9873969593415}",242,3.5,10003
wrvIZaT5rTmk0YpIvQbvHw,Murray's Cheese Bar,264 Bleecker St,"{'latitude': 40.7312, 'longitude': -74.00322}",776,4.0,10014
3iegS9M-EMbkhaPV2rsovg,Bistro Casa Azul,343 Pleasant Ave,"{'latitude': 40.79659, 'longitude': -73.93229}",38,5.0,10035
HUY6yj38FXqAQvWUdgL0xA,Sirenetta,568 Amsterdam Ave,"{'latitude': 40.78881, 'longitude': -73.97459}",295,4.0,10024
Zs-IWJ6vpGK3GcmFrBecXQ,Aroma Trattoria,932 8th Ave,"{'latitude': 40.76549, 'longitude': -73.98355}",62,4.5,10019
SfFHXhejjIwEUKY6pKMzwQ,Barney's Restaurant,315 Buckram Rd,"{'latitude': 40.8792199, 'longitude': -73.58456}",44,3.0,11560
7uJBW357VM1x57vBbILrgQ,Clandestino,35 Canal St,"{'latitude': 40.714775, 'longitude': -73.990852}",105,4.0,10002
CfCiJ6euz_s-yZo6DtE3PQ,Voyage Bakery/Café,LaGuardia Aiport Queens,"{'latitude': 40.77402, 'longitude': -73.87493}",52,2.5,11371
bmI-QX9p9Ap-rpnvm7fJxA,Wafels & Dinges,15 Ave B,"{'latitude': 40.72182, 'longitude': -73.983287}",575,4.0,10009
