egCy0HLa1rb7eCJIOULCbg,Creep City Ninja Bubble Tea,265 Graham Ave,"{'latitude': 40.711205, 'longitude': -73.944072}",27,3.5,11206
J_bnqjqmjr1NuaJ0bRclxA,Roll Play,90 Kent Ave,"{'latitude': 40.7214853, 'longitude': -73.9621174}",10,4.0,11211
FvsFSGzbmV56gqtYY4ZfQQ,La Mian Lounge,25-12 Broadway,"{'latitude': 40.7631278063422, 'longitude': -73.9279485723007}",65,4.5,11106
dH54zMwDvIc0pBauEBNsXQ,Battambang Market,229 E Kingsbridge Rd,"{'latitude': 40.865021, 'longitude': -73.893517}",5,4.5,10458
irRF-5aowSiEycwkKGw3Jw,Pho Today - East Rutherford,75 NJ-17,"{'latitude': 40.83088583, 'longitude': -74.09336567}",138,4.0,07073
ebhDBwRzD--eoiYcO8M18g,Pho Thai Lao Kitchen,219 Maywood Ave,"{'latitude': 40.8956216750601, 'longitude': -74.0658308645348}",303,4.0,07607
cY2klgqMgSSWV2FwdZ1daQ,Pho Times,136 Talmadge Rd,"{'latitude': 40.53341, 'longitude': -74.39433}",18,4.5,08817
yCJHIM-PWl54K53ACOpoNg,Hug Esan,77-16 Woodside Ave,"{'latitude': 40.7436465, 'longitude': -73.8873753}",161,4.5,11373
bVf4U0rRhQmTS8hfRV6f8Q,Great 8 Restaurant,5906 8th Ave,"{'latitude': 40.6359522941272, 'longitude': -74.0091335138677}",25,2.0,11220
sCbkm45j6pKBpq8gxd12LA,Pho Today - Fort Lee,2151 Lemoine Ave,"{'latitude': 40.85629, 'longitude': -73.967265}",177,3.5,07024
Dj0jblwuWTftL1D7_Kun6Q,Noodles 28,417 3rd Ave,"{'latitude': 40.74261, 'longitude': -73.97997}",203,3.0,10016
BM5JJQa_67CRfpKWBg1igQ,Addictive Bánh Mì,3264 87th St,"{'latitude': 40.756401, 'longitude': -73.8808843}",10,4.0,11369
5a9rnHJ0FMxEJGgb5WMLIg,Pho Choice,184-22 Horace Harding Expy,"{'latitude': 40.7396739513779, 'longitude': -73.7898179987494}",60,3.0,11365
