Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
DjLxykRuP8OFtGtPPZpfdQ,Caridad China,108 Graham Ave,"{'latitude': 40.704952, 'longitude': -73.942577}",105,4.0,11206,chinese
tfMPbnQqJ1P1RIab-o6gtg,Kum Kau,465 Myrtle Ave,"{'latitude': 40.693573, 'longitude': -73.966702}",259,3.0,11205,chinese
bDsXyYwzk4I9_7l51D_gaA,Cafe Evergreen,1367 1st Ave,"{'latitude': 40.76891, 'longitude': -73.9556}",178,3.5,10021,chinese
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,204E 58th St,"{'latitude': 40.76063, 'longitude': -73.96664}",323,3.5,10022,chinese
v5884XYNUh4yXbhAhvL9hg,Nightmarket,130 1st Ave,"{'latitude': 40.72737, 'longitude': -73.98525}",68,4.5,10009,chinese
KSleHGTG1yL1E7OEFFPoNQ,LaoMa Spicy,58 E 8th St,"{'latitude': 40.73089, 'longitude': -73.99343}",165,4.0,10003,chinese
v2dtG37r1ThqtfEfiFsAUg,Shanghai Mong,30 W 32nd St,"{'latitude': 40.7476119995117, 'longitude': -73.9871597290039}",541,3.0,10001,chinese
SVJNB9LqI13jtVyKMZVqeg,Uncle Ted's Modern Chinese Cuisine,163 Bleecker St,"{'latitude': 40.72882, 'longitude': -73.999961}",462,3.5,10012,chinese
7hh2eP4HVkyjtpcqeITk3Q,Ollie's Noodle Shop & Grille,2705 Broadway,"{'latitude': 40.79942, 'longitude': -73.96868}",167,3.0,10025,chinese
rYw5rQbWRX9buZHZbxqWdA,Congee Village,100 Allen St,"{'latitude': 40.7187, 'longitude': -73.99031}",1602,3.5,10002,chinese
UaQF4mv6hVjiegkwUvQeMQ,Dim Sum Chelsea,236 8th Ave,"{'latitude': 40.744624, 'longitude': -73.998649}",45,4.5,10011,chinese
qFmyAqm0MQbdu_MHX1mhpQ,Oh Dumplings,6 Bergen St,"{'latitude': 40.6875754, 'longitude': -73.9929996}",77,4.0,11201,chinese
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,328 E 6th St,"{'latitude': 40.72674, 'longitude': -73.98722}",332,4.5,10003,chinese
Jr8S-deYDqbDoo-eJI7nyg,Empire Szechuan Garden,4342 46th St,"{'latitude': 40.7442226, 'longitude': -73.9186565}",48,3.5,11104,chinese
pMD9ZQcyKfD6N2zb0kiR2A,Hardee's,209 Utica Ave,"{'latitude': 40.6716833260603, 'longitude': -73.9305902612873}",40,4.0,11213,chinese
k34VgKhpuIRPEr8vKSMwjA,Chung Chun Kitchen,338 Myrtle Ave,"{'latitude': 40.69314, 'longitude': -73.973}",25,3.5,11205,chinese
54om5q7V4anmIXw2PdNJbA,Chen's Buffet Bar,32 Cedar St,"{'latitude': 40.70712, 'longitude': -74.00845}",41,4.0,10038,chinese
lPIeccnT2RQTHFKpDafoxQ,Wo Hop Next Door,15 Mott St,"{'latitude': 40.7142, 'longitude': -73.99886}",5,5.0,10013,chinese
ipv4lBvbfVzCnSahqrJckQ,Little Pepper,18-24 College Point Blvd,"{'latitude': 40.78245, 'longitude': -73.84618}",320,4.0,11356,chinese
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1659 1st Ave,"{'latitude': 40.77726, 'longitude': -73.94932}",450,4.5,10028,chinese
C6NvtFvXo86_kEWi3qBYWQ,Golden Dragon,3406 31st Ave,"{'latitude': 40.76287, 'longitude': -73.92097}",79,3.5,11106,chinese
U5dCWjAxrvLLMH1ErpGfvw,A-jiao,1817 2nd Ave,"{'latitude': 40.783159, 'longitude': -73.948244}",130,3.5,10128,chinese
DpfE0gPBXj-aj2pnEh4E2Q,Wei Williamsburg,145 Borinquen Pl,"{'latitude': 40.7107868, 'longitude': -73.9542168}",167,3.5,11211,chinese
pMgk7E6bCG5Aj2sLuowobw,Golden Chopstick,789 Franklin Ave,"{'latitude': 40.6718339, 'longitude': -73.957229}",72,3.5,11238,chinese
FfUc69vNKeTkGqdpnq0giQ,Fansway Teriyaki Kitchen,1513A Myrtle Ave,"{'latitude': 40.6992860185837, 'longitude': -73.9152270555496}",19,4.0,11237,chinese
Dqu-5RxNbbpBsL1Ssht9Ng,Hunan Slurp,112 1st Ave,"{'latitude': 40.72669, 'longitude': -73.98563}",223,4.0,10009,chinese
